layer,unit,summary
layer4,1728,"poles, pencils, and gas cans"
layer4,1728,items that have straight features
layer3,257,a snowmobile going in the snow
layer3,257,dogs
layer3,257,the ground
layer2,83,"sharks in the water, a bird walking on a porch, fish in the ater"
layer2,83,sharks
layer2,83,zig-zag shapes in them
layer3,592,"birds, mountains and bridges"
layer3,592,triangular features
layer3,592,pictures of animal
layer4,230,animals and wildlife
layer4,230,animals and vehicles
layer4,230,birds and dogs
layer4,688,"animals, boas, and grass"
layer4,688,fur or fabric
layer4,688,fluffy animals
layer4,1075,objects with fur and tires
layer4,1075,"wheels, plaques and animals"
layer4,1075,gears and wheels and objects that resemble them
layer2,186,contrasting stripes
layer2,186,"person, animal, fan, mask"
layer2,186,stripe patterns
layer2,169,striped objects
layer2,169,ridged pieces of different structures
layer2,169,specific patterns
layer4,746,"people, bottles and furniture"
layer4,746,"people, animals and man made objects"
layer4,746,necks and dogs
layer4,306,fruits and faces of animals
layer4,306,things with dots and animal heads
layer4,306,faces of animals
layer4,1448,"barber pole outside of a hair salon, a sign to a memorial, a tent in the snow, a graduation student"
layer4,1448,people and things with red stripes
layer4,1448,colorful stripes or patterns
layer3,511,computer screens
layer3,511,small spots made up of small pattern
layer3,511,"rope, keyboard, lighthouse, structure"
layer3,430,water with ripples in it
layer3,430,images with water
layer3,430,the water around animals
layer4,663,"objects that are green, blue, brown, yellow, red, white and black"
layer4,663,"animals, boxes and balls"
layer4,663,green objects
layer3,721,"clock, tool, shirt"
layer3,721,"handles, walls and the sky"
layer3,721,lighter colored border areas
layer4,1670,"birdhouse, flower, dog wearing a hat, store with the sign on the front, barn in the  background"
layer4,1670,"wooden buildings, hats and fences"
layer4,1670,roofs
layer4,2025,"chair, dog, man's shirt"
layer4,2025,brown dogs
layer4,2025,items on other items
layer3,417,black and white text
layer3,417,logos on objects
layer3,417,words in pictures
layer4,14,fur and feathers of animals
layer4,14,areas of connection with other objects
layer4,14,animals and fur like qualities
layer4,530,"snow a person is shoveling, a bus going down the road, a frog"
layer4,530,"animals, trains, and auditoriums"
layer4,530,items with straight lines
layer4,644,animals and pens
layer4,644,"animals, people and dark objects"
layer4,644,things outside
layer4,1452,people holding objects
layer4,1452,items of central focus
layer4,1452,"animals, people, nature, food"
layer4,1501,objects with red hues
layer4,1501,items that are curved
layer4,1501,brighter areas on objects
conv1,10,flower pedals
conv1,10,"the flowers, people, and birds are colorful and are all in action"
conv1,10,birds flying a sky
layer4,37,"storage boxes, furniture and animals"
layer4,37,land animals
layer4,37,black and white
layer4,30,hands of people
layer4,30,rectangular objects in them
layer4,30,"long, rectangular features"
layer4,1253,shelves and the hands of people
layer4,1253,"animals, buttons, and shelves"
layer4,1253,dog faces and green grass
layer4,1178,"a stage in a room, a side of a truck, curtains in ar oom, side of a building"
layer4,1178,homes and animals
layer4,1178,angles
layer4,1681,"man's face, a baby, a dog,a soccer ball"
layer4,1681,items with angles
layer4,1681,front of objects
layer2,105,yellow objects
layer2,105,yellow and red objects
layer2,105,orange areas in picture
layer2,44,"along the ridges of animals, people, and objects"
layer2,44,the ears of land animals
layer2,44,brighter areas in objects
layer3,706,"a cup, a chainlink fence, a fish, a pan"
layer3,706,dots and holes
layer3,706,small black and brown sticks
layer4,578,animals and grates
layer4,578,object with stripes or other patterns
layer4,578,balls and radiators
layer4,1330,"a mouse playing with cheese, a person reading, graphic on a box, a dog in a enclosure, na package"
layer4,1330,animals and beauty products
layer4,1330,black dogs
layer4,1569,"animals, vehicles and objects with circles"
layer4,1569,objects with round features
layer4,1569,green trees
layer1,62,black lettering and perfume bottles
layer1,62,a dark shape
layer1,62,"animal, logo"
layer1,97,"a snake, a fox yawning, a deer in the light, a beer in the dar i"
layer1,97,objects of whiskers and legs
layer1,97,animals
layer3,599,reflected things
layer3,599,noses of people and dogs
layer3,599,"window, mirror, sky, person, cell phone"
layer3,595,legs and poles
layer3,595,bodies of different bugs
layer3,595,"thick, rounded regions"
layer4,634,windows
layer4,634,glass ceilings and walls
layer4,634,vertical line patterns
layer4,1566,curved lines and edges
layer4,1566,snakes and sticks and similarly shaped items
layer4,1566,"person, lamp, remote, nature"
layer2,387,a suv with rims
layer2,387,parts of white thin areas
layer2,387,white spots of different areas
layer2,485,tips of ears
layer2,485,the ears of land animals
layer2,485,edges of the object
layer3,145,shiny objects
layer3,145,chests of different people
layer3,145,i-shaped areas
layer4,294,"animals, vehicles and stages"
layer4,294,dogs and yellow objects
layer4,294,dogs and horses and people and trucks and animals
layer4,1302,"a soccer ball someone is holding, people at a supermarket, person's hands, person in the water"
layer4,1302,"animals, people and water and sky"
layer4,1302,cloudy skies
layer4,1418,animals and feet
layer4,1418,appendages
layer4,1418,"insect, person, foot"
layer3,253,"the front face of a fox or another animal, kitchen untinsels, bug on a leaf"
layer3,253,dogs eyes and noses
layer3,253,dog noses and things that look like them
layer3,454,triangular objects
layer3,454,triangular features on objects and structures
layer3,454,triangular objects
layer3,551,"vehicles, bugs and lawnmowers"
layer3,551,vehicles
layer3,551,abdomen area of bug
layer4,337,"plaques, clocks and electronics"
layer4,337,screens and surfaces with text
layer4,337,rounded edges in pictures
layer4,1265,animals and curved edges
layer4,1265,"animals, masks, vehicles and appliances"
layer4,1265,things outside
layer4,1809,"plants, cookware and lights"
layer4,1809,green or brown objects
layer4,1809,green areas in picture
conv1,61,a radio with its trim
conv1,61,white outlines of objects
conv1,61,"bug, radio, person, bench"
layer2,306,"dots on a butterfly, a space on a sign"
layer2,306,colour of the comics
layer2,306,circles and round shapes
layer3,587,walls and doors
layer3,587,cabinets and doors
layer3,587,doors
layer3,520,blue objects
layer3,520,"blue materials, objects, and fur on birds"
layer3,520,blue birds and denim
layer4,800,animals and circular objects
layer4,800,curved object
layer4,800,objects close to the mouth
layer4,1180,animals
layer4,1180,shaggy dogs
layer4,1180,pictures of animal
layer4,1923,"animals, cup"
layer4,1923,areas with pointed objects
layer4,1923,curved items
layer3,57,people wearing hats
layer3,57,person wearing a hat
layer3,57,hats on peoples head
layer2,444,"a helicopter, a taxi going down the road"
layer2,444,"outlines of eyes, dots and other pointed areas"
layer2,444,sharks and eyes
layer4,428,floor and grass
layer4,428,sand and gravel
layer4,428,"animal, golf ball, parking lot, van"
layer3,851,"animal eyes and noses, and objects that resemble them"
layer3,851,eyes of birds
layer3,851,round nose of a animal
layer4,1511,animals and floors
layer4,1511,curved items
layer4,1511,lighter areas in pictures
layer4,1024,yellow objects and glasses
layer4,1024,the are shaped like sunglasses
layer4,1024,"person, food, vehicle, nature"
layer3,357,the sky or solid color background
layer3,357,blue skies and white walls
layer3,357,flat color areas around sitting objects
layer4,10,insects and snails
layer4,10,black bugs
layer4,10,bugs and animals
layer4,331,animals and balls
layer4,331,shoulders of humans
layer4,331,"animal, nature, person"
layer4,640,people
layer4,640,baby faces
layer4,640,human faces
layer4,1360,wooden tables and shelves
layer4,1360,areas with multiple lines
layer4,1360,wooden furniture
layer4,2046,"left side of a man's shirt, an axe, a mushroom, a nail, a man parachuting"
layer4,2046,"tools, animals and parachutes"
layer4,2046,"long, thin objects with a thicker point"
layer3,219,a dog's ears
layer3,219,dog heads
layer3,219,dog faces and ears
layer3,250,space above a dog
layer3,250,blue skies and dogs
layer3,250,part of the top part of the sky
layer3,527,"bottom of lamps, cups and legs"
layer3,527,the things that look like wine glass stems
layer3,527,"the base of the glass is wide, then narrow as you move up"
layer4,132,fur of animals and edges of objects
layer4,132,clothes and benches
layer4,132,"person, nature, animal"
layer4,1013,insects and animals
layer4,1013,"animals, food, and a apron"
layer4,1013,brown bugs
layer4,1032,animals and screens
layer4,1032,brown dogs
layer4,1032,items with corners
layer2,455,"chainlink fence, symmetry of a design of nature or manmade object, a bird sitting on a rock, a dog looking through a gate, a group of people riding a dirt bike"
layer2,455,"letters, grids and scales"
layer2,455,a criss cross or honeycomb like design
layer3,28,spots of the color white
layer3,28,boarders
layer3,28,brighter areas in objects
layer4,388,objects and animals with curved lines
layer4,388,"plants, animals and a plaque"
layer4,388,snakes
layer4,903,animals and circular objects
layer4,903,faces and necks
layer4,903,two items that are connected
layer4,1084,"dog, a bunny"
layer4,1084,animals
layer4,1084,"breeds of dogs, one bear and one rabbit"
layer3,72,outreaching lines in a fan shape
layer3,72,heads of bugs
layer3,72,the photographs represent the lines found in objects both alive and innate
layer3,1020,white and brown edges
layer3,1020,"rock, wall"
layer3,1020,rounded edges in pictures
layer3,956,the sky and trees
layer3,956,sky and grass
layer3,956,nature
layer4,1194,"animals, dresses, and columns"
layer4,1194,brown objects
layer4,1194,rounded objects in pictures
layer4,1683,red and blue objects
layer4,1683,areas with red hues
layer4,1683,curved items
layer4,1768,"a woman holding a camera, an owl, a bison, a man with a green shirt, a cat, a man holding a guitar pick"
layer4,1768,faces and objects that resemble them
layer4,1768,two items that are connected
layer2,392,space above a boys hair
layer2,392,backgrounds that are fuzzy
layer2,392,nature
layer3,29,edges of objects and tables
layer3,29,"the color white on instruments, and backgrounds of animals"
layer3,29,rounded edges
layer4,177,pills and remotes
layer4,177,small pellets
layer4,177,"pills, game board, person, hand, food"
layer4,1011,animals and circular objects
layer4,1011,perforated white objects
layer4,1011,items with circular features
layer4,1299,"a bird flying in the sky, a person with keyboard and mouse, a gas pump, an old rusted wheel barrel"
layer4,1299,animals and cords
layer4,1299,tails of animals
conv1,47,"a crockpot, spaces on the edges of a butterfly"
conv1,47,white dots on butterflies
conv1,47,the space along the edges of the object
layer3,429,dog legs
layer3,429,legs of animals
layer3,429,the animals' legs are furry
layer3,573,birds with wings extended
layer3,573,"animals, brushes and mushrooms"
layer3,573,"wings, brushes or things shaped like that"
layer3,722,"animals, circular objects and cassettes"
layer3,722,textured areas
layer3,722,birds and bugs
layer4,1492,"dogs, crutch on the sand, remote"
layer4,1492,"animals, remotes, crutches and pens"
layer4,1492,items with straight features
layer4,1482,"pets, toilet paper, a vaccum, a lizard"
layer4,1482,animals and things with holes
layer4,1482,objects with eyes or holes
layer2,500,dots on the background
layer2,500,dogs
